week_ended,reflecting_week_end,fips_code,state_name,initial_claims,continued_claims,covered_employment,insured_unemployment_rate,Timestamp,Date,ID Geography,Geography
3/31/2018,3/24/2018,04000US28,Mississippi,779,8042,1101351,0.73,1.52247E+12,"March 31st, 2018",04000US28,Mississippi
3/31/2018,3/24/2018,04000US44,Rhode Island,958,10837,464069,2.34,1.52247E+12,"March 31st, 2018",04000US44,Rhode Island
3/24/2018,3/17/2018,04000US19,Iowa,1800,26709,1517606,1.76,1.52186E+12,"March 24th, 2018",04000US19,Iowa
3/24/2018,3/17/2018,04000US21,Kentucky,1953,21361,1869232,1.14,1.52186E+12,"March 24th, 2018",04000US21,Kentucky
3/24/2018,3/17/2018,04000US22,Louisiana,1863,15972,1874072,0.85,1.52186E+12,"March 24th, 2018",04000US22,Louisiana
3/24/2018,3/17/2018,04000US28,Mississippi,1002,8438,1101351,0.77,1.52186E+12,"March 24th, 2018",04000US28,Mississippi
3/24/2018,3/17/2018,04000US44,Rhode Island,635,11379,464069,2.45,1.52186E+12,"March 24th, 2018",04000US44,Rhode Island
3/17/2018,3/10/2018,04000US19,Iowa,2173,28799,1517606,1.9,1.52126E+12,"March 17th, 2018",04000US19,Iowa
3/17/2018,3/10/2018,04000US21,Kentucky,1946,21224,1869232,1.14,1.52126E+12,"March 17th, 2018",04000US21,Kentucky
3/17/2018,3/10/2018,04000US22,Louisiana,1805,16017,1874072,0.85,1.52126E+12,"March 17th, 2018",04000US22,Louisiana
3/17/2018,3/10/2018,04000US28,Mississippi,1182,8164,1101351,0.74,1.52126E+12,"March 17th, 2018",04000US28,Mississippi
3/17/2018,3/10/2018,04000US44,Rhode Island,834,11445,464069,2.47,1.52126E+12,"March 17th, 2018",04000US44,Rhode Island
3/10/2018,3/3/2018,04000US19,Iowa,1977,29464,1517606,1.94,1.52066E+12,"March 10th, 2018",04000US19,Iowa
3/10/2018,3/3/2018,04000US21,Kentucky,2316,22882,1869232,1.22,1.52066E+12,"March 10th, 2018",04000US21,Kentucky
3/10/2018,3/3/2018,04000US22,Louisiana,1794,16737,1874072,0.89,1.52066E+12,"March 10th, 2018",04000US22,Louisiana
3/10/2018,3/3/2018,04000US28,Mississippi,982,8542,1101351,0.78,1.52066E+12,"March 10th, 2018",04000US28,Mississippi
3/10/2018,3/3/2018,04000US44,Rhode Island,758,11874,464069,2.56,1.52066E+12,"March 10th, 2018",04000US44,Rhode Island
3/3/2018,2/24/2018,04000US19,Iowa,1812,30835,1517606,2.03,1.52005E+12,"March 3rd, 2018",04000US19,Iowa
3/3/2018,2/24/2018,04000US21,Kentucky,1535,22729,1869232,1.22,1.52005E+12,"March 3rd, 2018",04000US21,Kentucky
3/3/2018,2/24/2018,04000US22,Louisiana,1897,17465,1874072,0.93,1.52005E+12,"March 3rd, 2018",04000US22,Louisiana
3/3/2018,2/24/2018,04000US28,Mississippi,880,9004,1101351,0.82,1.52005E+12,"March 3rd, 2018",04000US28,Mississippi
3/3/2018,2/24/2018,04000US44,Rhode Island,862,13458,464069,2.9,1.52005E+12,"March 3rd, 2018",04000US44,Rhode Island
2/24/2018,2/17/2018,04000US19,Iowa,2023,30860,1517606,2.03,1.51945E+12,"February 24th, 2018",04000US19,Iowa
